observation_noise,prior_precision,metacognitive_access,delta_complexity,delta_accuracy,delta_free_energy,boundary_entropy_nats,separation_index,post_dual_advantage,prunes_prior
0.0,0.2,0.0,-0.04999999999999999,-0.30000000000000004,0.25,0.0,0.05,0.0,False
0.0,0.2,0.125,-0.06875000000000003,-0.26249999999999996,0.1937499999999999,0.0,0.043750000000000004,0.0,False
0.0,0.2,0.25,-0.08750000000000002,-0.22499999999999998,0.13749999999999996,0.0,0.037500000000000006,0.0,False
0.0,0.2,0.375,-0.10625000000000001,-0.1875,0.08124999999999999,0.0,0.03125,0.0,False
0.0,0.2,0.5,-0.125,-0.15000000000000002,0.025000000000000022,0.0,0.025,0.0,False
0.0,0.2,0.625,-0.14375,-0.11250000000000004,-0.031249999999999944,0.0,0.018750000000000003,0.031249999999999944,True
0.0,0.2,0.75,-0.16250000000000003,-0.07499999999999996,-0.08750000000000008,0.0,0.0125,0.08750000000000008,True
0.0,0.2,0.875,-0.18125000000000002,-0.03749999999999998,-0.14375,0.0,0.00625,0.14375,True
0.0,0.2,1.0,-0.2,0.0,-0.2,0.0,0.0,0.2,True
0.0,0.5,0.0,-0.35,-0.30000000000000004,-0.04999999999999995,0.0,0.125,0.04999999999999995,True
0.0,0.5,0.125,-0.36875,-0.26249999999999996,-0.10625000000000008,0.0,0.109375,0.10625000000000008,True
0.0,0.5,0.25,-0.3875,-0.22499999999999998,-0.16250000000000003,0.0,0.09375,0.16250000000000003,True
0.0,0.5,0.375,-0.40625,-0.1875,-0.21875,0.0,0.078125,0.21875,True
0.0,0.5,0.5,-0.425,-0.15000000000000002,-0.27499999999999997,0.0,0.0625,0.27499999999999997,True
0.0,0.5,0.625,-0.44375,-0.11250000000000004,-0.33124999999999993,0.0,0.046875,0.33124999999999993,True
0.0,0.5,0.75,-0.4625,-0.07499999999999996,-0.38750000000000007,0.0,0.03125,0.38750000000000007,True
0.0,0.5,0.875,-0.48125,-0.03749999999999998,-0.44375,0.0,0.015625,0.44375,True
0.0,0.5,1.0,-0.5,0.0,-0.5,0.0,0.0,0.5,True
0.0,1.0,0.0,-0.85,-0.30000000000000004,-0.5499999999999999,0.0,0.25,0.5499999999999999,True
0.0,1.0,0.125,-0.86875,-0.26249999999999996,-0.6062500000000001,0.0,0.21875,0.6062500000000001,True
0.0,1.0,0.25,-0.8875,-0.22499999999999998,-0.6625000000000001,0.0,0.1875,0.6625000000000001,True
0.0,1.0,0.375,-0.90625,-0.1875,-0.71875,0.0,0.15625,0.71875,True
0.0,1.0,0.5,-0.925,-0.15000000000000002,-0.7749999999999999,0.0,0.125,0.7749999999999999,True
0.0,1.0,0.625,-0.94375,-0.11250000000000004,-0.8312499999999999,0.0,0.09375,0.8312499999999999,True
0.0,1.0,0.75,-0.9625,-0.07499999999999996,-0.8875000000000001,0.0,0.0625,0.8875000000000001,True
0.0,1.0,0.875,-0.98125,-0.03749999999999998,-0.94375,0.0,0.03125,0.94375,True
0.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,1.0,True
0.0,2.0,0.0,-1.85,-0.30000000000000004,-1.55,0.0,0.5,1.55,True
0.0,2.0,0.125,-1.86875,-0.26249999999999996,-1.6062500000000002,0.0,0.4375,1.6062500000000002,True
0.0,2.0,0.25,-1.8875,-0.22499999999999998,-1.6625,0.0,0.375,1.6625,True
0.0,2.0,0.375,-1.90625,-0.1875,-1.71875,0.0,0.3125,1.71875,True
0.0,2.0,0.5,-1.925,-0.15000000000000002,-1.7750000000000001,0.0,0.25,1.7750000000000001,True
0.0,2.0,0.625,-1.94375,-0.11250000000000004,-1.8312499999999998,0.0,0.1875,1.8312499999999998,True
0.0,2.0,0.75,-1.9625,-0.07499999999999996,-1.8875000000000002,0.0,0.125,1.8875000000000002,True
0.0,2.0,0.875,-1.98125,-0.03749999999999998,-1.94375,0.0,0.0625,1.94375,True
0.0,2.0,1.0,-2.0,0.0,-2.0,0.0,0.0,2.0,True
0.0,4.0,0.0,-3.85,-0.30000000000000004,-3.55,0.0,1.0,3.55,True
0.0,4.0,0.125,-3.86875,-0.26249999999999996,-3.6062499999999997,0.0,0.875,3.6062499999999997,True
0.0,4.0,0.25,-3.8875,-0.22499999999999998,-3.6625,0.0,0.75,3.6625,True
0.0,4.0,0.375,-3.90625,-0.1875,-3.71875,0.0,0.625,3.71875,True
0.0,4.0,0.5,-3.925,-0.15000000000000002,-3.775,0.0,0.5,3.775,True
0.0,4.0,0.625,-3.94375,-0.11250000000000004,-3.83125,0.0,0.375,3.83125,True
0.0,4.0,0.75,-3.9625,-0.07499999999999996,-3.8874999999999997,0.0,0.25,3.8874999999999997,True
0.0,4.0,0.875,-3.98125,-0.03749999999999998,-3.94375,0.0,0.125,3.94375,True
0.0,4.0,1.0,-4.0,0.0,-4.0,0.0,0.0,4.0,True
0.05,0.2,0.0,-0.05249999999999999,-0.2875,0.23799999999999996,0.1985152433458726,0.05,0.0,False
0.05,0.2,0.125,-0.07125000000000004,-0.2515625,0.18243749999999997,0.1985152433458726,0.043750000000000004,0.0,False
0.05,0.2,0.25,-0.09000000000000002,-0.21562499999999996,0.1268749999999999,0.1985152433458726,0.037500000000000006,0.0,False
0.05,0.2,0.375,-0.10875000000000001,-0.1796875,0.07131249999999995,0.1985152433458726,0.03125,0.0,False
0.05,0.2,0.5,-0.1275,-0.14374999999999993,0.01574999999999993,0.1985152433458726,0.025,0.0,False
0.05,0.2,0.625,-0.14625,-0.10781249999999998,-0.03981250000000003,0.1985152433458726,0.018750000000000003,0.03981250000000003,True
0.05,0.2,0.75,-0.16500000000000004,-0.07187500000000002,-0.09537499999999999,0.1985152433458726,0.0125,0.09537499999999999,True
0.05,0.2,0.875,-0.18375000000000002,-0.03593750000000007,-0.1509375,0.1985152433458726,0.00625,0.1509375,True
0.05,0.2,1.0,-0.2025,0.0,-0.20650000000000007,0.1985152433458726,0.0,0.20650000000000007,True
0.05,0.5,0.0,-0.3525,-0.2875,-0.062000000000000006,0.1985152433458726,0.125,0.062000000000000006,True
0.05,0.5,0.125,-0.37125,-0.2515625,-0.11756249999999999,0.1985152433458726,0.109375,0.11756249999999999,True
0.05,0.5,0.25,-0.39,-0.21562499999999996,-0.17312500000000006,0.1985152433458726,0.09375,0.17312500000000006,True
0.05,0.5,0.375,-0.40875,-0.1796875,-0.22868750000000002,0.1985152433458726,0.078125,0.22868750000000002,True
0.05,0.5,0.5,-0.4275,-0.14374999999999993,-0.28425,0.1985152433458726,0.0625,0.28425,True
0.05,0.5,0.625,-0.44625,-0.10781249999999998,-0.33981249999999996,0.1985152433458726,0.046875,0.33981249999999996,True
0.05,0.5,0.75,-0.465,-0.07187500000000002,-0.3953749999999999,0.1985152433458726,0.03125,0.3953749999999999,True
0.05,0.5,0.875,-0.48375,-0.03593750000000007,-0.4509375,0.1985152433458726,0.015625,0.4509375,True
0.05,0.5,1.0,-0.5025,0.0,-0.5065000000000001,0.1985152433458726,0.0,0.5065000000000001,True
0.05,1.0,0.0,-0.8524999999999998,-0.2875,-0.5619999999999999,0.1985152433458726,0.25,0.5619999999999999,True
0.05,1.0,0.125,-0.8712499999999999,-0.2515625,-0.6175624999999999,0.1985152433458726,0.21875,0.6175624999999999,True
0.05,1.0,0.25,-0.8899999999999999,-0.21562499999999996,-0.673125,0.1985152433458726,0.1875,0.673125,True
0.05,1.0,0.375,-0.90875,-0.1796875,-0.7286874999999999,0.1985152433458726,0.15625,0.7286874999999999,True
0.05,1.0,0.5,-0.9274999999999999,-0.14374999999999993,-0.7842499999999999,0.1985152433458726,0.125,0.7842499999999999,True
0.05,1.0,0.625,-0.9462499999999998,-0.10781249999999998,-0.8398124999999999,0.1985152433458726,0.09375,0.8398124999999999,True
0.05,1.0,0.75,-0.9649999999999999,-0.07187500000000002,-0.8953749999999998,0.1985152433458726,0.0625,0.8953749999999998,True
